	keyword	name	page_url	page_fan	page_id			
139	빙그레(Binggrae) 	빙그레(Binggrae)	https://www.facebook.com/bingsmile/	319035	1.27529E+14	brands	SOUTH KOREA	빙그레(Binggrae)?SOUTH KOREA
140	익스피디아 	익스피디아	https://www.facebook.com/expediakorea/	6722515	3.9533E+14	brands	SOUTH KOREA	익스피디아?SOUTH KOREA
141	빙그레 아이스크림 	빙그레 아이스크림	https://www.facebook.com/Bingicecream/	243025	1.10841E+15	brands	SOUTH KOREA	빙그레 아이스크림?SOUTH KOREA
142	NESCAF? 	NESCAF?	https://www.facebook.com/NescafeKorea/	36520708	4.3851E+14	brands	SOUTH KOREA	NESCAF??SOUTH KOREA
143	칠성사이다&Cool 	칠성사이다&Cool	https://www.facebook.com/LotteChilsungCider/	288817	4.03097E+14	brands	SOUTH KOREA	칠성사이다&Cool?SOUTH KOREA
144	Megastudy 	Megastudy	https://www.facebook.com/megastudy10/	230346	1.43224E+14	brands	SOUTH KOREA	Megastudy?SOUTH KOREA
145	커넥츠 스카이에듀 	커넥츠 스카이에듀	https://www.facebook.com/superskyedu/	251217	4.27133E+14	brands	SOUTH KOREA	커넥츠 스카이에듀?SOUTH KOREA
146	KEB 하나은행 	KEB 하나은행	https://www.facebook.com/KEBHana/	289982	1.22999E+14	brands	SOUTH KOREA	KEB 하나은행?SOUTH KOREA
147	Pringles 	Pringles	https://www.facebook.com/PringlesInAsia/	24760663	1.41865E+15	brands	SOUTH KOREA	Pringles?SOUTH KOREA
148	WIZWID - 위즈위드 	WIZWID - 위즈위드	https://www.facebook.com/wizwid/	237566	1.35591E+14	brands	SOUTH KOREA	WIZWID - 위즈위드?SOUTH KOREA
149	엔씨소프트 	엔씨소프트	https://www.facebook.com/ncsoft/	237147	1.47864E+14	brands	SOUTH KOREA	엔씨소프트?SOUTH KOREA
150	맘스터치 - 버거&치킨 	맘스터치 - 버거&치킨	https://www.facebook.com/momstouchmain/	225594	2.00646E+14	brands	SOUTH KOREA	맘스터치 - 버거&치킨?SOUTH KOREA
151	현대캐피탈 	현대캐피탈	https://www.facebook.com/hyundaicapital/	232599	1.27676E+14	brands	SOUTH KOREA	현대캐피탈?SOUTH KOREA
152	ASICS 	ASICS	https://www.facebook.com/ASICSKorea/	3171296	6.17808E+14	brands	SOUTH KOREA	ASICS?SOUTH KOREA
153	스타벅스 RTD 	스타벅스 RTD	https://www.facebook.com/starbucksrtd/	230272	1.40521E+14	brands	SOUTH KOREA	스타벅스 RTD?SOUTH KOREA
154	아웃백 스테이크 하우스(Outback Steakhouse) 	아웃백 스테이크 하우스(Outback Steakhouse)	https://www.facebook.com/koreaoutback/	227399	1.74922E+14	brands	SOUTH KOREA	아웃백 스테이크 하우스(Outback Steakhouse)?SOUTH KOREA
155	신라면세점 	신라면세점	https://www.facebook.com/shilladfs/	1119155	2.18959E+14	brands	SOUTH KOREA	신라면세점?SOUTH KOREA
156	British Airways	British Airways	https://www.facebook.com/britishairways/	3006409	76903425829	brands	"GLOBAL, UNITED KINGDOM"	"British Airways?GLOBAL, UNITED KINGDOM"
157	미스터피자(Mrpizzalove) 	미스터피자(Mrpizzalove)	https://www.facebook.com/mrpizzalove/	248543	3.64889E+14	brands	SOUTH KOREA	미스터피자(Mrpizzalove)?SOUTH KOREA
158	Beanpole 	Beanpole	https://www.facebook.com/beanpole.kr/	241881	3.10317E+14	brands	SOUTH KOREA	Beanpole?SOUTH KOREA
159	MyRealTrip 	MyRealTrip	https://www.facebook.com/myRealTrip/	235165	2.5387E+14	brands	SOUTH KOREA	MyRealTrip?SOUTH KOREA
160	Canon Korea(캐논카메라) 	Canon Korea(캐논카메라)	https://www.facebook.com/canonkoreacamera/	231869	1.30562E+14	brands	SOUTH KOREA	Canon Korea(캐논카메라)?SOUTH KOREA
