page_name,page_id,post_last,post_period
Petitzel,253208348078449,2017-11-06,2.1666666666666665
American Apparel,5677674978,2017-11-06,0.7083333333333334
Gucci 구찌,267436176625478,2017-11-03,1.7916666666666667
사이언스북스,110615612313206,2017-11-06,0.5
내일투어,353581348048282,2017-11-07,1.625
Biotherm 비오템,323106541127626,2017-11-03,3.0833333333333335
맥심모카골드,420603714804807,2017-11-03,2.4166666666666665
Mixxo,147304455304058,2017-11-07,2.3333333333333335
IOPE 艾諾碧台灣,186224554914755,2017-11-07,1.1666666666666667
AK플라자,257993680926354,2017-11-07,0.5416666666666666
알라딘 (aladin),137173236325690,2017-11-03,1.9166666666666667
한국콘텐츠진흥원,228042553876300,2017-11-07,0.5416666666666666
PlayStation Korea - 플레이스테이션 코리아,994190097341270,2017-11-07,0.4583333333333333
르노삼성자동차 Renault Samsung Motors,143651205698116,2017-11-06,1.7083333333333333
뉴에라코리아[New Era Korea],448075095233801,2017-11-07,0.9583333333333334
1million dance studio,940315869318277,2017-11-03,0.9166666666666666
닷페이스 .FACE,214142335609595,2017-11-02,1.7083333333333333
Volvo Car Korea,238774596144638,2017-11-06,1.875
ING생명,192910797422233,2017-11-07,2.9583333333333335
마운틴듀,1389978141222851,2017-09-29,1.0416666666666667
GIORDANO,305952686090102,2017-11-06,2.4166666666666665
Dr. Peacock,133260863417462,2017-11-06,2.0416666666666665
해피머니상품권,164121640277225,2017-11-06,1.0
맥심티오피  Maxim T.O.P,207701112629162,2017-11-04,1.6666666666666667
FIAT Korea,291693764226789,2017-10-03,6.0
Flour Box Bakery,173731761312,2017-11-04,0.9166666666666666
Dolby,196738403784672,2017-10-06,1.2083333333333333
I-Face clinic,593946827300235,2017-11-07,0.4166666666666667
포니이펙트 PONY EFFECT,1680664135512553,2017-11-02,3.5416666666666665
아모스프로페셔널·amosprofessional,304859622951796,2017-11-06,2.25
하나프리 - 하나free,359861964073768,2017-11-05,3.1666666666666665
아르모어,379733872095734,2017-03-15,2.2916666666666665
길리안 (Guylian),353524188063692,2017-09-05,21.625
푸조,280740621986449,2017-11-06,1.875
Bruno Magli Korea (브루노말리),382295578500024,2017-11-03,3.25
pepper.co.kr,1454500211460659,2017-11-07,0.16666666666666666
삼립호빵,837978606247615,2017-11-06,2.4583333333333335
한국수력원자력(주) 공식페이스북,194070340676574,2017-11-07,0.625
롯데슈퍼(LotteSuper),156610124412418,2017-11-07,0.5416666666666666
"Topten10, - 탑텐, - TOP10",224784564371410,2017-11-07,1.7083333333333333
에누리,160451777348109,2017-11-07,0.4583333333333333
Absolut,248415115207456,2017-11-03,6.875
Mizuno Sports,175493785834387,2017-11-03,2.1666666666666665
LOTTE Hotels & Resorts - 롯데호텔앤리조트,148043941928025,2017-11-07,0.75
Adobe Korea,202247089816230,2017-11-07,0.9166666666666666
NH농협카드,691307410923634,2017-11-07,1.125
라이나생명보험,395494653903306,2017-11-07,2.2916666666666665
Lipton Ice Tea,398279660263022,2017-11-03,3.5
헤지스(HAZZYS),254654024555658,2017-11-07,1.9166666666666667
Timbuk2Korea,137696246433406,2017-11-06,2.2083333333333335
위즈덤하우스,214387625335828,2017-11-07,0.5
Sulwhasoo,575990549118146,2017-11-06,2.8333333333333335
The White Stripes,383897895041,2017-10-31,14.166666666666666
PUMA,624758737601889,2017-11-06,3.0416666666666665
L'OCCITANE en Provence,184293781638041,2017-11-06,2.9583333333333335
가방팝(gabangpop),478586402153252,2017-11-06,1.2916666666666667
IBK 기업은행,131289360221640,2017-11-07,0.875
Tiffany & Co.,48713703067,2017-11-06,1.1666666666666667
BrownBreath,136136526446107,2017-11-01,1.5
큐원,313512548693863,2017-11-07,1.9166666666666667
GE코리아,815256155165845,2017-11-07,1.9583333333333333
우리은행,142881812391514,2017-11-06,1.0833333333333333
Vaseline,277185042435371,2017-11-07,2.625
LEWITT,112057305571958,2016-01-29,0.6666666666666666
금호타이어 - KUMHO TIRE,157290564289594,2017-11-07,0.5833333333333334
Mediheal 메디힐,469042596457304,2017-11-02,2.2916666666666665
신라아이파크면세점,1544381052518573,2017-11-03,1.7916666666666667
웅진식품,214418845324520,2017-11-06,1.125
한국에너지공단,178950495489727,2017-11-07,1.2083333333333333
기네스 코리아 (Guinness Korea),391522957539736,2017-10-26,21.916666666666668
Eau Thermale Avène,337736906308493,2017-11-07,1.7916666666666667
남양유업,137681349636962,2017-11-06,2.2916666666666665
광동제약,253305454680593,2017-11-07,1.0416666666666667
스파이더 코리아 - Spyder Korea,432792400237430,2017-11-02,2.9166666666666665
미림,1596995213855888,2017-11-06,1.3333333333333333
LG 케미스토리,388525784678942,2017-11-06,1.7083333333333333
Lovcat Paris,107055632701108,2017-11-03,1.875
미니스톱 (Ministop Korea),187890131318883,2017-11-07,0.875
핫트랙스,182904708445945,2017-11-06,2.0416666666666665
연애의 기록,181576181853978,2017-11-06,1.0833333333333333
좋은생활 암웨이 : Amway Korea,214459178565641,2017-11-07,2.0416666666666665
Tourtips,134953706673052,2017-10-31,1.9166666666666667
Bulgari,48981224962,2017-10-31,2.875
바나나 리퍼블릭 - Banana Republic,454748034652566,2017-07-31,2.4583333333333335
